    PID TTY          TIME CMD
  49752 pts/1    00:00:08 java
  49863 pts/1    00:00:01 java
  49916 pts/1    00:00:00 sh
  49917 pts/1    00:00:00 ps
.
..
.gitignore
pom.xml
README.md
src
target
    PID TTY          TIME CMD
    634 pts/0    00:00:00 bash
   2087 pts/0    00:00:08 java
   2145 pts/0    00:00:02 java
   2172 pts/0    00:00:00 sh
   2174 pts/0    00:00:00 ps
USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.0  23236 13940 ?        Ss   14:58   0:01 /sbin/init splash
root          76  0.0  0.0      0     0 ?        S    14:58   0:00 [idle_inject/10]
root          77  0.0  0.0      0     0 ?        S    14:58   0:00 [migration/10]
root          78  0.0  0.0      0     0 ?        S    14:58   0:00 [ksoftirqd/10]
root          80  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/10:0H-events_highpri]
root          81  0.0  0.0      0     0 ?        S    14:58   0:00 [cpuhp/11]
root          82  0.0  0.0      0     0 ?        S    14:58   0:00 [idle_inject/11]
root          83  0.0  0.0      0     0 ?        S    14:58   0:00 [migration/11]
root          84  0.0  0.0      0     0 ?        S    14:58   0:00 [ksoftirqd/11]
root          86  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/11:0H-events_highpri]
root          89  0.0  0.0      0     0 ?        S    14:58   0:00 [kdevtmpfs]
root          90  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/R-inet_]
root          92  0.0  0.0      0     0 ?        S    14:58   0:00 [kauditd]
root          96  0.0  0.0      0     0 ?        S    14:58   0:00 [khungtaskd]
root          98  0.0  0.0      0     0 ?        S    14:58   0:00 [oom_reaper]
root          99  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/R-write]
root         100  0.0  0.0      0     0 ?        S    14:58   0:00 [kcompactd0]
root         101  0.0  0.0      0     0 ?        SN   14:58   0:00 [ksmd]
root         102  0.0  0.0      0     0 ?        SN   14:58   0:00 [khugepaged]
root         103  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/R-kinte]
root         104  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/R-kbloc]
root         105  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/R-blkcg]
root         106  0.0  0.0      0     0 ?        S    14:58   0:00 [irq/9-acpi]
root         108  0.0  0.0      0     0 ?        I    14:58   0:00 [kworker/2:1-rcu_gp]
root         109  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/R-tpm_d]
root         110  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/R-ata_s]
root         111  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/R-md]
root         112  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/R-md_bi]
root         113  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/R-edac-]
root         115  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/R-devfr]
root         116  0.0  0.0      0     0 ?        S    14:58   0:00 [watchdogd]
root         117  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/2:1H-kblockd]
root         118  0.0  0.0      0     0 ?        S    14:58   0:00 [kswapd0]
root         119  0.0  0.0      0     0 ?        S    14:58   0:00 [ecryptfs-kthread]
root         120  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/R-kthro]
root         124  0.0  0.0      0     0 ?        I    14:58   0:00 [kworker/7:1-rcu_par_gp]
root         126  0.0  0.0      0     0 ?        I    14:58   0:00 [kworker/9:1-mm_percpu_wq]
root         129  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/R-acpi_]
root         130  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/R-mld]
root         131  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/R-ipv6_]
root         140  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/R-kstrp]
root         142  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/u67:0]
root         143  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/u68:0-ttm]
root         149  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/R-crypt]
root         160  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/R-charg]
root         188  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/0:1H-kblockd]
root         191  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/1:1H-kblockd]
root         193  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/10:1H-kblockd]
root         203  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/3:1H-kblockd]
root         210  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/8:1H-kblockd]
root         213  0.0  0.0      0     0 ?        I    14:58   0:00 [kworker/6:2-cgroup_destroy]
root         214  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/6:1H-kblockd]
root         215  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/7:1H-kblockd]
root         217  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/9:1H-kblockd]
root         224  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/5:1H-kblockd]
root         226  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/4:1H-kblockd]
root         227  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/11:1H-kblockd]
root         232  0.0  0.0      0     0 ?        S    14:58   0:00 [scsi_eh_0]
